,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,temp,pressure,humidity,wind_speed,wind_deg,weather_main,total load forecast,total load actual,price day ahead,price actual
88671,900,0,5401,5959,176,0,0,279,1030,100,0,0,clouds,23326,23393,58,68
88672,900,0,5401,5959,176,0,0,270,1030,92,1,350,clear,23326,23393,58,68
88673,900,0,5401,5959,176,0,0,275,1030,75,1,178,mist,23326,23393,58,68
88674,900,0,5401,5959,176,0,0,278,1029,93,5,260,clear,23326,23393,58,68
88675,900,0,5401,5959,176,0,0,282,1029,93,2,28,clear,23326,23393,58,68
88676,908,0,4753,5723,175,0,0,279,1030,93,1,0,clouds,22287,21909,51,63
88677,908,0,4753,5723,175,0,0,269,1029,92,1,340,clear,22287,21909,51,63
88678,908,0,4753,5723,175,0,0,274,1029,86,0,0,mist,22287,21909,51,63
88679,908,0,4753,5723,175,0,0,277,1028,93,5,260,clear,22287,21909,51,63
88680,908,0,4753,5723,175,0,0,281,1028,93,2,28,fog,22287,21909,51,63
88681,915,0,4321,5523,175,0,0,277,1029,100,1,0,clouds,21038,20615,47,59
88682,915,0,4321,5523,175,0,0,269,1029,92,1,340,clear,21038,20615,47,59
88683,915,0,4321,5523,175,0,0,274,1028,85,1,175,mist,21038,20615,47,59
88684,915,0,4321,5523,175,0,0,277,1028,93,5,260,clear,21038,20615,47,59
88685,915,0,4321,5523,175,0,0,281,1028,93,2,31,fog,21038,20615,47,59
88686,904,0,4320,5295,175,0,0,278,1029,100,1,0,clear,20079,19628,45,56
88687,904,0,4320,5295,175,0,0,269,1028,92,1,0,clouds,20079,19628,45,56
88688,904,0,4320,5295,175,0,0,274,1028,85,1,175,mist,20079,19628,45,56
88689,904,0,4320,5295,175,0,0,277,1027,93,5,260,clear,20079,19628,45,56
88690,904,0,4320,5295,175,0,0,281,1028,100,2,31,fog,20079,19628,45,56
88691,929,0,3920,5252,176,0,0,277,1028,100,2,260,clear,19841,19252,44,54
88692,929,0,3920,5252,176,0,0,270,1028,92,1,350,clouds,19841,19252,44,54
88693,929,0,3920,5252,176,0,0,274,1028,80,1,175,mist,19841,19252,44,54
88694,929,0,3920,5252,176,0,0,276,1027,100,5,260,clear,19841,19252,44,54
88695,929,0,3920,5252,176,0,0,281,1027,93,0,20,fog,19841,19252,44,54
88696,915,0,4009,5089,176,0,0,276,1027,100,0,0,clear,19792,19351,44,54
88697,915,0,4009,5089,176,0,0,270,1027,92,2,350,clouds,19792,19351,44,54
88698,915,0,4009,5089,176,0,0,273,1027,92,1,180,mist,19792,19351,44,54
88699,915,0,4009,5089,176,0,0,276,1026,100,0,150,clear,19792,19351,44,54
88700,915,0,4009,5089,176,0,0,280,1027,93,0,30,fog,19792,19351,44,54
88701,914,0,4196,4966,178,0,0,276,1027,100,0,0,clear,20109,19691,44,54
88702,914,0,4196,4966,178,0,0,270,1027,86,1,340,clouds,20109,19691,44,54
88703,914,0,4196,4966,178,0,0,273,1027,92,1,180,mist,20109,19691,44,54
88704,914,0,4196,4966,178,0,0,276,1026,100,5,253,clear,20109,19691,44,54
88705,914,0,4196,4966,178,0,0,281,1027,93,1,50,fog,20109,19691,44,54
88706,912,0,3969,4832,178,0,0,276,1027,100,1,0,clear,20369,19600,44,54
88707,912,0,3969,4832,178,0,0,271,1027,86,0,0,clouds,20369,19600,44,54
88708,912,0,3969,4832,178,0,0,272,1026,92,0,0,mist,20369,19600,44,54
88709,912,0,3969,4832,178,0,0,275,1026,100,5,253,clear,20369,19600,44,54
88710,912,0,3969,4832,178,0,0,281,1027,93,3,30,fog,20369,19600,44,54
88711,915,0,3930,4699,176,0,0,276,1027,100,1,0,clear,21056,20238,45,54
88712,915,0,3930,4699,176,0,0,271,1027,86,1,340,clouds,21056,20238,45,54
88713,915,0,3930,4699,176,0,0,272,1026,93,1,0,mist,21056,20238,45,54
88714,915,0,3930,4699,176,0,0,274,1026,100,5,258,clear,21056,20238,45,54
88715,915,0,3930,4699,176,0,0,282,1027,93,2,40,mist,21056,20238,45,54
88716,935,0,4250,4987,172,0,0,278,1027,100,2,301,clouds,22565,22001,46,54
88717,935,0,4250,4987,172,0,0,272,1026,86,2,340,mist,22565,22001,46,54
88718,935,0,4250,4987,172,0,0,272,1026,86,0,0,mist,22565,22001,46,54
88719,935,0,4250,4987,172,0,0,276,1026,93,5,258,clouds,22565,22001,46,54
